Rb.;"Naziv tijela";OIB;Adresa;"Br. pošte";Grad;Telefon;Fax;Www;E-mail;"Ime i prezime službenika";"Tel. službenika";"E-mail. službenika";Osnivač;"Pravni status";Djelatnost;"Zadnja izmjena"
1521;"Gradska knjižnica Bakar";27717479092;"Primorje 45a";51222;Bakar;"(+385 51) 761 263";"(+385 51) 761 527";www.gkbakar.hr;knjiznica@gkbakar.hr;"Dolores Paro Mikeli";"(+385 91) 7635 465";dolores.mikeli@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1522;"Gradska knjižnica Beli Manastir";10422409778;"Kralja Tomislava 2";31300;"Beli Manastir";"(+385 31) 710 250";"(+385 31) 710 259";www.gkbm.hr;gradska.knjiznica.bm@os.t-com.hr;"Žolti Rabi";"(+385 31) 710 250";skm@gkbm.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-01-11 11:30:54"
1523;"Gradska knjižnica Benkovac";26884498810;"Šetalište kneza Branimira 46";23420;Benkovac;"(+385 23) 681 182";"(+385 23) 681 182";;gk-benkovac@zd.t-com.hr;"Mile Marić";"(+385 23) 681 182";gk-benkovac@zd.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1524;"Gradska knjižnica Biograd na Moru";76911726015;"Šetalište kneza Branimira 52";23210;"Biograd na Moru";"(+385 23) 386 487";"(+385 23) 386 487";www.gkbnm.hr;gkbnm@zd.t-com.hr;"Tihana Jurišić";"(+385 23) 386 487";tihana.jurisic@gkbnm.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-01-11 11:07:06"
1525;"Gradska knjižnica Crikvenica";34636013813;"Vinodolska 1";51260;Crikvenica;"(+385 51) 243 238";"(+385 51) 784 023";www.knjiznica-crikvenica.hr;knjiznica@knjiznica-crikvenica.hr;"Irena Krmpotić";"(+385 51) 782 091";irena@knjiznica-crikvenica.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-02-13 10:22:53"
1526;"Gradska knjižnica Don Mihovil Pavlinović Imotski";13056813552;"Kralja Zvonimira 1";21260;Imotski;"(+385 21) 670 572";"(+385 21) 670 572";www.knjiznica-imotski.hr;gradska.knjiznica.imotski@st.t-com.hr;"Marija Jović";"(+385 21) 670 572";gradska.knjiznica.imotski@st.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-01-28 08:46:47"
1527;"Gradska knjižnica Dugo Selo";03668327627;"Josipa Zorića 17";10370;"Dugo Selo";"(+385 1) 2753 754";"(+385 1) 2774 200";;gkds@gkds.hr;"Predrag Topić";"(+385 1) 2753 754";gkds@gkds.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-14 15:48:57"
1528;"Gradska knjižnica Đurđevac";24205264983;"Trg sv. Jurja 1";48350;Đurđevac;"(+385 48) 812 701";"(+385 48) 812 701";www.knjiznica-djurdjevac.hr;gradska.knjiznica@djurdjevac.hr;"Bernarda Ferderber";"(+385 48) 812 701";gradska.knjiznica@djurdjevac.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-02-01 10:14:24"
1529;"Gradska knjižnica Franjo Marković Križevci";17675024924;"Trg sv. Florijana 14";48260;Križevci;"(+385 48) 682 646";"(+385 48) 682 646";www.knjiznica-krizevci.hr;knjiznica-krizevci@kc.t-com.hr;"Martina Majdak";"(+385 48) 682 646";knjiznica-krizevci@kc.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2017-01-30 09:30:43"
1530;"Gradska knjižnica Grada Donjeg Miholjca";78158720785;"Trg Ante Starčevića 22";31540;"Donji Miholjac";"(+385 31) 631 746";;;ravnatelj@gkgdm.hr;"Marinela Šmider";"(+385 95) 3803 212";ravnatelj@gkgdm.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-08 09:07:38"
1531;"Gradska knjižnica i čitaonica Ante Jagar Novska";41385169887;"Trg dr. Franje Tuđmana 4";44330;Novska;"(+385 44) 600 252";"(+385 44) 600 252";www.knjiznica-novska.hr;knjiznica-novska@email.t-com.hr;"Marija Gašparović";"(+385 44) 600 252";mpejakov@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-19 10:14:01"
1532;"Gradska knjižnica i čitaonica Antun Mihanović Klanjec";50418147849;"Trg Antuna Mihanovića 2";49290;Klanjec;"(+385 49) 550 235";"(+385 49) 500 807";;gkk@post.t-com.hr;"Maja Vukina Bogović";"(+385 49) 550 235";gkk@post.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-02-01 10:47:48"
1533;"Gradska knjižnica i čitaonica Belišće";19806508838;"Vijenac dr. Franje Tuđmana 1";31551;Belišće;"(+385 31) 400 627";"(+385 31) 400 602";www.gkcbelisce.hr;knjiznica@belisce.hr;"Vlasta Putar";"(+385 31) 400 627";knjiznica@belisce.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2017-01-25 08:34:14"
1534;"Gradska knjižnica i čitaonica Duga Resa";06408214334;"Bana Josipa Jelačića 42";47250;"Duga Resa";"(+385 47) 841 471";"(+385 47) 844 550";www.gkicdr.hr;knjiznica.duga.resa@ka.t-com.hr;"Mirjana Bašić";"(+385 47) 841 471";knjiznica.duga.resa@ka.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2016-10-10 12:36:37"
1535;"Gradska knjižnica i čitaonica Đakovo";29981422793;"Kralja Tomislava 13";31400;Đakovo;"(+385 31) 812 045";"(+385 31) 812 045";www.djknjiznica.com;djknjiznica@gmail.com;"Anđelka Blažević";"(+385 31) 812 045";djknjiznica@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-27 13:30:15"
1536;"Gradska knjižnica i čitaonica Frane Petrića Cres";03415683262;"Trg sv. Frane br. 8";51557;Cres;"(+385 51) 571 054";"(+385 51) 571 054";knjiznice.nsk.hr/cres/;knjiznica-cres@ri.t-com.hr;"Stefano Negovetić";"(+385 51) 571 054";knjiznica-cres@ri.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-02-14 13:55:38"
1537;"Gradska knjižnica i čitaonica Gustav Krklec Ivanec";63823507140;"Akademika Ladislava Šabana 3";42240;Ivanec;"(+385 42) 782 165";"(+385 42) 770 866";www.knjiznice.nsk.hr/ivanec;knjiznica.krklec@optinet.hr;"Vesna Matišić";"(+385 98) 715 786";knjiznica.krklec@optinet.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2016-12-02 11:50:15"
1538;"Gradska knjižnica i čitaonica Hvar";26528278492;"Palača Vukašinović";21450;Hvar;"(+385 21) 742 997";"(+385 21) 742 997";www.knjiznicahvar.hr;knjiznica.hvar@inet.hr;"Nikla Barbarić";"(+385 21) 742 997";knjiznica.hvar@inet.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-02-02 15:47:20"
1539;"Gradska knjižnica i čitaonica Ilok";87636804491;"Trg Nikole Iločkoga 2";32236;Ilok;"(+385 32) 590 041";"(+385 32) 590 041";www.knjiznica-ilok.hr;ravnatelj@knjiznica-ilok.hr;"Željka Đerić";"(+385 32) 590 198";ravnatelj@knjiznica-ilok.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-01-04 09:00:34"
1540;"Gradska knjižnica i čitaonica Ivana Belostenca";61107046938;"Kolodvorska 1a";47280;Ozalj;"(+385 47) 732 167";"(+385 47) 732 167";www.gkc-ivanabelostenca.hr;knib@ka.t-com.hr;"Bogdan Bošnjak";"(+385 47) 732 167";knjiznicaozalj@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-13 10:41:51"
1541;"Gradska knjižnica i čitaonica Lipik";08851900605;"Slavonska 47";34551;Lipik;"(+385 34) 421 088";;www.knjiznica-lipik.hr;grad.lipik1@po.t-com.hr;;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-03-19 08:39:15"
1542;"Gradska knjižnica i čitaonica Mali Lošinj";90670664265;"Zagrebačka 2";51550;"Mali Lošinj";"(+385 51) 231 915; (+385 51) 520 014";"(+385 51) 520 071";www.knjiznica-losinj.hr;knjiznica-losinj@ri.t-com.hr;"Armida Vlašić";"(+385 51) 520 014";armida.vlasic@knjiznica-losinj.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1543;"Gradska knjižnica i čitaonica Metel Ožegović Varaždin";45785139643;"Trg slobode 8a";42000;Varaždin;"(+385 42) 212 767";"(+385 42) 212 767";www.knjiznica-vz.hr;gknjizmo@vz.t-com.hr;"Milivoj Zajec";"(+385 42) 212 767";milivoj.zajec@vz.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2016-12-02 11:49:47"
1544;"Gradska knjižnica i čitaonica Milivoja Cvetnića Hrvatska Kostajnica";41036860721;"Vladimira Nazora 17";44430;"Hrvatska Kostajnica";"(+385 44) 851 833";;;gkc.hk@email.t-com.hr;;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-02-04 09:52:14"
1545;"Gradska knjižnica i čitaonica Mladen Kerstner Ludbreg";52291394442;"Trg sv. Trojstva 19";42230;Ludbreg;"(+385 42) 306 067";"(+385 42) 810 450";;ravnatelj@knjiznica-ludbreg.hr;"Margareta Rajh";"(+385 42) 306 067";margareta@knjiznica-ludbreg.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-02-06 08:25:21"
1546;"Gradska knjižnica i čitaonica Mursko Središće";10450341911;"Trg bana Josipa Jelačića 10";40315;"Mursko Središće";"(+385 40) 543 113";;www.mursko-sredisce.hr;gradska-kniznica-i-citaonica@ck.t-com.hr;"Ivana Sakač";"(+385 40) 370 782";gradska-knjiznica-i-citaonica@ck.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-02-12 11:16:31"
1547;"Gradska knjižnica i čitaonica Novi Marof";10507400781;"Antuna Mihanovića 3";42220;"Novi Marof";"(+385 42) 611 234";"(+385 42) 205 235";www.gknm.hr;gknm@gknm.hr;"Melita Toplak";"(+385 42) 611 234";info@gknm.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1548;"Gradska knjižnica i čitaonica Ogulin";32709842687;"Bernardina Frankopana 7";47300;Ogulin;"(+385 47) 522 170";"(+385 47) 522 392";www.gkc-ogulin;knjiznica@gkc-ogulin.hr;"Marijana Mazor";"(+385 47) 522 170";knjiznica@gkc-ogulin.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-02-13 08:21:11"
1549;"Gradska knjižnica i čitaonica Petrinja";76861071360;"Matije Gupca 2";44250;Petrinja;"(+385 44) 813 760";"(+385 44) 813 761";www.gkc-petrinja.hr;gkc@gkc-petrinja.hr;"Gordana Dumbović";"(+385 44) 813 760";gordana@gkc-petrinja.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1550;"Gradska knjižnica i čitaonica Pula";28668912722;"Ulica sv. Ivana 1";52100;Pula;"(+385 52) 300 407";"(+385 52) 300 403";www.gkc-pula.hr;tajnica@gkc-pula.hr;"Marija Giačić";"(+385 52) 300 400";tajnica@gkc-pula.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-02-05 11:11:10"
1551;"Gradska knjižnica i čitaonica Slatina";96060105940;"Šetalište Julija Burgera 1";33520;Slatina;"(+385 33) 300 675";"(+385 33) 300 675";www.knjiznica-slatina.hr;knjiznica.citaonica.slatina@vt.t-com.hr;"Marija Cindrić";"(+385 95) 3628 388";gradska.knjiznica.slatina@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-21 13:54:11"
1552;"Gradska knjižnica i čitaonica Stari Grad";49852691090;"Novo riva 2";21460;"Stari Grad";"(+385 21) 765 910";"(+385 21) 765 910";;knjiznica@stari-grad.hr;"Sofija Čavić";"(+385 21) 765 910";knjiznica@stari-grad.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-02-06 10:33:37"
1553;"Gradska knjižnica i čitaonica Valpovo";68614292634;"Josipa Jurja Strossmayera 36";31550;Valpovo;"(+385 31) 650 490";"(+385 31) 650 428";www.gradskaknjiznicavalpovo.weebly.com;gradska_knjiznica_valpovo@yahoo.com;"Zvonko Barišić";"(+385 31) 656 214";gradska_knjiznica_valpovo@yahoo.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-02-11 07:50:25"
1554;"Gradska knjižnica i čitaonica Viktor Car Emin Opatija";80659915613;"Nikole Tesle 2";51410;Opatija;"(+385 51) 718 690";"(+385 51) 711 511";www.gk-opatija.hr;ravnatelj@gk-opatija.hr;"Ana Miočić";"(+385 51) 718 690";ana.miocic@gk-opatija.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-07 14:18:43"
1555;"Gradska knjižnica i čitaonica Vinkovci";67043571709;"Ivana Gundulića 6";32100;Vinkovci;"(+385 32) 332 418";"(+385 32) 334 675";http://knjiznice.nsk.hr/vinkovci/;knjiznica@gkvk.hr;"Ivana Dražić";"(+385 32) 334 675";ivana@gkvk.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-04-25 11:28:05"
1556;"Gradska knjižnica i čitaonica Virovitica";17414117306;"Trg bana Josipa Jelačića 5";33000;Virovitica;"(+385 33) 721 940";"(+385 33) 721 907";www.knjiznicavirovitica.hr;gkc@vt.htnet.hr;"Alen Bjelica";"(+385 33) 721 940; (+385 33) 721 930";gkc@vt.htnet.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-01-17 13:14:34"
1557;"Gradska knjižnica i čitaonica Vis";44794961644;"Viškog boja 13";21480;Vis;"(+385 21) 711 925";"(+385 21) 711 063";www.knjiznice.nsk.hr/vis/;gkc.vis@gmail.com;"Tamara Alavanja";"(+385 21) 711 925";tamara.alavanja@yahoo.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-02-06 12:37:48"
1558;"Gradska knjižnica Ivan Goran Kovačić Karlovac";41231362351;"Ljudevita Šestića 1";47000;Karlovac;"(+385 47) 412 377";"(+385 47) 412 371";www.gkka.hr;info@gkka.hr;"Željka Sukanec";"(+385 47) 412 377";zeljka@gkka.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2016-12-02 11:46:31"
1559;"Gradska knjižnica Ivan Pridojević Skradin";91936633700;"Dr. Franje Tuđmana 33";22222;Skradin;"(+385 22) 771 102";;;kulturni.centar@grad-skradin.hr;;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-02-08 09:42:22"
1560;"Gradska knjižnica Ivan Vidali Korčula";44855616115;"Hrvatske bratske zajednice 15";20260;Korčula;"(+385 20) 711 974";"(+385 20) 711 974";www.gk-korcula.hr;gradska.knjiznica.ivan.vidali@du.t-com.hr;"Milojka Skokandić";"(+385 20) 711 974";gradska.knjiznica.ivan.vidali@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-01-12 09:43:05"
1561;"Gradska knjižnica Ivana Belostenca Lepoglava";25859591042;"Hrvatskih pavlina 7";42250;Lepoglava;"(+385 42) 792 742";;;knjiznica-lepoglava1@vz.t-com.hr;"Karmela Geček";"(+385 95) 5106 238";knjiznicalepoglava@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-02-04 09:48:19"
1562;"Gradska knjižnica Ivana Gorana Kovačića Vrbovsko";49627863242;"Ivana Gorana Kovačića 20a";51326;Vrbovsko;"(+385 51) 875 159";"(+385 51) 875 159";http://knjiznice.nsk.hr/vrbovsko/;vrbovsko.knjiznica@gmail.com;"Gordana Vučinić";"(+385 51) 875 159";vrbovsko.knjiznica@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-29 15:48:57"
1563;"Gradska knjižnica Ivanić-Grad";33737838399;"Moslavačka 11";10310;Ivanić-Grad;"(+385 1) 2882 974";;www.gkig.hr;gkig@gkig.hr;"Senka Kušar Bisić";"(+385 1) 2882 974";senka@gkig.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-04-03 08:27:59"
1564;"Gradska knjižnica Janet Majnarich Delnice";29061318702;"Radićeva 3";51300;Delnice;"(+385 51) 812 430";"(+385 51) 812 430";www.knjiznica-delnice.com;knjiznicadelnice@gmail.com;"Ivana Pleše";"(+385 51) 812 430";knjiznicadelnice@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-01-12 08:39:10"
1565;"Gradska knjižnica Juraj Šižgorić Šibenik";92734079541;"Poljana 6";22000;Šibenik;"(+385 22) 201 280";"(+385 22) 201 300";www.knjiznica-sibenik.hr;gks@knjiznica-sibenik.hr;"Melinda Grubišić Reiter";"(+385 22) 201 298";mgrubisic-reiter@knjiznica-sibenik.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-02-03 09:21:31"
1566;"Gradska knjižnica Kaštela";52093944073;"Trg palih za domovinu 1";21212;"Kaštel Sućurac";"(+385 21) 225 944";"(+385 21) 226 303";www.gkk.hr;gk-kastela@st.t-com.hr;"Renata Dobrić";"(+385 21) 225 944; (+385 95) 3000 031";gradskaknjiznicakastela@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-28 11:38:45"
1567;"Gradska knjižnica Krapina";76228618573;"Šetalište hrvatskog narodnog preporoda 13";49000;Krapina;"(+385 49) 370 132";"(+385 49) 301 794";www.gkkr.hr;info@gkkr.hr;"Petra Salamon";"(+385 49) 370 132";petra.salamon@gkkr.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-04 10:12:15"
1568;"Gradska knjižnica Krk";87487073570;"Kvarnerska 23";51500;Krk;"(+385 51) 221 149";"(+385 51) 221 149";www.knjiznica.hr/krk;narodna.knjiznica.krk@ri.t-com.hr;"Ivančica Justinić";"(+385 51) 221 149";narodna.knjiznica.krk@ri.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-02-12 13:39:41"
1569;"Gradska knjižnica Ksaver Šandor Gjalski Zabok";42568267870;"Stjepana Radića 1";49210;Zabok;"(+385 49) 221 451";"(+385 49) 221 451";www.knjiznica-zabok.hr;knjiznica@knjiznica-zabok.hr;"Andreja Šagud";"(+385 49) 221 451";knjiznica@knjiznica-zabok.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-01-21 09:38:07"
1570;"Gradska knjižnica Labin";68585857405;"Rudarska 1a";52220;Labin;"(+385 52) 852 257";"(+385 52) 856 232";www.gk-labin.hr;gklabin@gk-labin.hr;"Slavica Maršić";"(+385 52) 852 257";ppi@gk-labin.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-09-10 14:36:38"
1571;"Gradska knjižnica Makarska";73176854752;"Don Mihovila Pavlinovića 1/I";21300;Makarska;"(+385 21) 612 042";"(+385 21) 679 935";www.gradska-knjiznica-makarska.hr;gradska.knjiznica@makarska.hr;"Ana Duvnjak";"(+385 21) 612 042";duvnjakana10@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-02-04 11:51:29"
1572;"Gradska knjižnica Marka Marulića";31775955033;"Ulica slobode 2";21000;Split;"(+385 21) 685 012";"(+385 21) 685 001";www.gkmm.hr;gkmm@gkmm.hr;"Grozdana Ribičić; Jelena Grgić";"(+385 21) 685 031";gkmm@gkmm.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-02-16 15:21:44"
1573;"Gradska knjižnica Matija Vlačić Ilirik Rovinj";25538178534;"Domenica Pergolisa 2";52210;Rovinj;"(+385 52) 840 212";"(+385 52) 840 195";www.gk-rovinj.hr;knjiznica-rovinj@email.t-com.hr;"Maja Pulić";"(+385 52) 840 212";maja@gk-rovinj.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2016-12-02 11:47:56"
1574;"Gradska knjižnica Mato Lovrak Grubišno Polje";37076752996;"Ivana Nepomuka Jemeršića 1";43290;"Grubišno Polje";"(+385 43) 485 016";"(+385 43) 485 270";www.gkml.hr;knjiznica.gp@gmail.com;"Ivana Ledić";"(+385 43) 485 016";ledicivana@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-01-24 13:35:28"
1575;"Gradska knjižnica Metković";19485704150;"Kralja Zvonimira 4";20350;Metković;"(+385 20) 681 715";"(+385 20) 681 715";www.gradska-knjiznica-metkovic.hr;gradska.knjiznica@du.t-com.hr;"Vesna Vidović";"(+385 20) 681 715";gradska.knjiznica@du.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-01-31 14:25:13"
1576;"Gradska knjižnica Nova Gradiška";54986197832;"Relkovićeva 4";35400;"Nova Gradiška";"(+385 35) 330 041";"(+385 35) 330 043";;gradska.kniznica.ng@sb.t-com.hr;"Biljana Dakić";"(+385 35) 330 040";gradska.knjiznica.ng@sb.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1577;"Gradska knjižnica Novalja";87948657896;"Trg dr. Franje Tuđmana 1";53291;Novalja;"(+385 53) 661 391";"(+385 53) 662 364";;gradska.knjiznica.novalja@gs.t-com.hr;;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1578;"Gradska knjižnica Novigrad Cittanova";49309912272;"Rivarela 7";52466;Novigrad;"(+385 52) 729 040";"(+385 52) 729 050";www.knjiznicanovigrad.hr;info@knjiznicanovigrad.hr;"Morena Moferdin";"(+385 52) 729 040";info@knjiznicanovigrad.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-02-01 11:08:13"
1579;"Gradska knjižnica Opuzen";89847059790;"Trg opuzenske bojne 2";20355;Opuzen;"(+385 20) 672 352";"(+385 20) 672 352";;gradskaknjiznicaopuzen@a1net.hr;"Karmela Popić Kešina";"(+385 20) 672 352";karmela.pk@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-02-03 09:04:49"
1580;"Gradska knjižnica Orahovica";71773778967;"Kralja Zvonimira 28";33315;Orahovica;"(+385 33) 561 388";"(+385 33) 400 555";knjiznice.nsk.hr/orahovica/;gkorahovica@gmail.com;"Jelena Mihelčić";"(+385 33) 561 388";gkorahovica@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-02-04 08:15:25"
1581;"Gradska knjižnica Oroslavje";28896456578;"Park Vranyczany 1";49243;Oroslavje;"(+385 49) 264 199";"(+385 49) 264 199";www.knjiznica-oroslavje.hr;gkoroslavje@gmail.com;"Sandra Šamec";"(+385 49) 264 199";gkoroslavje@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-01-24 14:50:53"
1582;"Gradska knjižnica Otok";85520625901;"Trg kralja Tomislava 6a";32252;Otok;"(+385 98) 724 258";;;marijana.barnjak@gmail.com;"Marijana Barnjak Jelić";"(+385 98) 724 258";marijana.barnjak@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-02-05 15:19:17"
1583;"Gradska knjižnica Pag";45288967647;"Od Špitala 1";23250;Pag;"(+385 23) 611 054";"(+385 23) 611 054";;gradska-knjiznica-pag@zd.t-com.hr;"Ljiljana Festini";"(+385 23) 600 096";gradska-knjiznica-pag@zd.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2016-02-01 13:14:36"
1584;"Gradska knjižnica Pakrac";85255604019;"Trg dr. Franje Tuđmana 1";34550;Pakrac;"(+385 34) 411 716";"(+385 34) 511 050";www.knjiznica-pakrac.hr;knjiznica@pakrac.hr;"Monika Lucić Fider";"(+385 34) 411 716";knjiznica@pakrac.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1585;"Gradska knjižnica Pazin";72292768317;"Šetalište Pazinske gimnazije 1a";52000;Pazin;"(+385 52) 624 488";"(+385 52) 616 383";www.gk-pazin.hr;info@gk-pazin.hr;"Marina Marušić";"(+385 52) 624 488";info@gk-pazin.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1586;"Gradska knjižnica Poreč";48527423383;"Trg Marafor 3";52440;Poreč;"(+385 52) 434 196";"(+385 52) 427 549";www.knjiznicaporec.hr;gradska@knjiznicaporec.hr;"Irides Zović";"(+385 52) 434 196";irides.zovic@knjiznicaporec.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1587;"Gradska knjižnica Požega";99361425113;"Antuna Kanižlića 1";34000;Požega;"(+385 34) 275 394";"(+385 34) 274 455";www.gkpz.hr;gkpz@gkpz.hr;"Irena Jurković";"(+385 98) 760 236";irena.jurkovic@gkpz.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-04-05 09:39:15"
1588;"Gradska knjižnica Pregrada";38049127947;"Trg Gospe Kunagorske 3";49218;Pregrada;"(+385 49) 376 111";"(+385 49) 300 208";www.pregrada.hr;knjiznica-pregrada@kr.t-com.hr;"Draženka Gretić";"(+385 49) 376 111";knjiznica-pregrada@kr.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
1589;"Gradska knjižnica Rab";30992312179;"Gornja ulica 21";51280;Rab;"(+385 51) 726 035";"(+385 51) 726 035";www.gk-rab.hr;knjiznica.rab@gmail.com;"Lidija Domijan Šipovac";"(+385 51) 726 035";knjiznica.rab@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-28 08:29:47"
1590;"Gradska knjižnica Ranko Marinković Komiža";28370238405;"Komiških iseljenika 1";21485;Komiža;"(+385 21) 713 216";"(+385 21) 713 216";www.komiza.hr/gradska-knjiznica;knjiznica.komiza@email.t-com.hr;"Ivana Brajković";"(+385 21) 713 216";knjiznica.komiza@email.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2016-12-02 11:48:15"
